id;picture;picture_content_type;title;subtitle;start_date;end_date;price;level;tutor;contact_info;requirements;description;location;hours;category_id
1;../fake-data/blob/hipster.png;image/png;mobile Fish;Home Loan Account Table Computer;2019-09-24;2019-09-23;86617;INTERMEDIATE;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;39986;1
2;../fake-data/blob/hipster.png;image/png;Gorgeous Frozen Pants;Common;2019-09-23;2019-09-23;19967;INTERMEDIATE;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;83319;2
3;../fake-data/blob/hipster.png;image/png;Salad;Digitized invoice;2019-09-24;2019-09-23;52006;BEGINNER;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;3
4;../fake-data/blob/hipster.png;image/png;Specialist Home Loan Account;Plastic;2019-09-23;2019-09-24;7455;ADVANCED;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;37081;4
5;../fake-data/blob/hipster.png;image/png;Lempira;pixel withdrawal;2019-09-23;2019-09-23;47221;ADVANCED;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;69551;5
6;../fake-data/blob/hipster.png;image/png;Concrete Investment Account Saint Lucia;User-centric;2019-09-24;2019-09-23;28975;INTERMEDIATE;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;52;6
7;../fake-data/blob/hipster.png;image/png;cutting-edge ability Hat;supply-chains magenta;2019-09-24;2019-09-24;33761;ADVANCED;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;3305;7
8;../fake-data/blob/hipster.png;image/png;ubiquitous;Public-key Granite;2019-09-23;2019-09-23;98565;INTERMEDIATE;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;Argentine Peso;85835;8
9;../fake-data/blob/hipster.png;image/png;neural-net red;Buckinghamshire Future-proofed deposit;2019-09-24;2019-09-23;69093;INTERMEDIATE;Forint;Concrete Global SMS;Profound;parsing;Borders content-based;99625;9
10;../fake-data/blob/hipster.png;image/png;Agent;Human deposit;2019-09-24;2019-09-24;34920;INTERMEDIATE;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;1807;10
